video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
aOctSYoPLXk,2018-05-26,Voice of Heart Music,10,119895,5243,577,574,FALSO,FALSO,Chandigarh,30.71999697,76.78000565,POINT (76.78000565000001 30.71999697),Music
W8t844YljSs,2018-05-26,zeetvtelugu,24,240277,466,91,35,FALSO,FALSO,Puducherry,11.93499371,79.83000037,POINT (79.83000036999999 11.93499371),Entertainment
duGErpf7Oko,2018-05-26,DVV Entertainments,24,117436,7942,212,271,FALSO,FALSO,Goa,15.491997,73.81800065,POINT (73.81800065 15.491997),Entertainment
84k8LN6V-fQ,2018-05-26,Cine Heart TAMIL,24,87850,289,42,81,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
1yJZKgu4-og,2018-05-26,Public TV | ಪಬ್ಲಿಕ್ ಟಿವಿ,25,172949,1129,237,200,FALSO,FALSO,Lakshadweep,10.56257331,72.63686717,POINT (72.63686717 10.56257331),News & Politics
Dh9oLcNK5dg,2018-05-26,Sonotek Bhakti,10,111151,636,137,63,FALSO,FALSO,Nagaland,25.6669979,94.11657019,POINT (94.11657019 25.6669979),Music
XrO_dAV-1mU,2018-05-26,WiFiStudy,27,31697,3176,48,334,FALSO,FALSO,Maharashtra,19.25023195,73.16017493,POINT (73.16017493 19.25023195),Education
o0-Bt_P53oM,2018-05-26,Zee Bangla,24,108907,539,35,4,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Entertainment
6Ro2LyFWbRk,2018-05-26,Adda247 :Official Channel of BankersAdda & SSCAdda,27,27774,2248,108,70,FALSO,FALSO,Mizoram,23.71039899,92.72001461,POINT (92.72001461000001 23.71039899),Education
saoVqiNyH_4,2018-05-26,Star Maa,24,240609,1015,109,71,FALSO,FALSO,Tamil Nadu,12.92038576,79.15004187,POINT (79.15004187 12.92038576),Entertainment
uMirN5ZbwUY,2018-05-26,Anand Audio Kannada Comedy,23,131793,723,39,27,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Comedy
a6vJMBxKQZc,2018-05-26,Flowers TV,24,267764,1217,280,814,FALSO,FALSO,Kerala,8.900372741,76.56999263,POINT (76.56999263 8.900372741),Entertainment
rUt5TQoU7Rk,2018-05-26,Filmy Focus,24,48180,372,63,20,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
bMZvsBXf5y4,2018-05-26,Sports Edge,17,144416,2803,412,285,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Sports
yoasJ5TXoCg,2018-05-26,Asianet,24,167920,375,96,398,FALSO,FALSO,Tamil Nadu,12.92038576,79.15004187,POINT (79.15004187 12.92038576),Entertainment
dSCH11i3pqc,2018-05-26,Saregama TVShows,24,131348,918,148,146,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
WpZhbb44ZVk,2018-05-26,Manpreet Toor,24,84305,7563,273,531,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
-34EvVQ9sqo,2018-05-26,Mathrubhumi News,25,210740,0,0,43,FALSO,VERDADERO,Kerala,8.900372741,76.56999263,POINT (76.56999263 8.900372741),News & Politics
2mCnNNGvpuc,2018-05-26,The Wire,25,170983,10731,340,910,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),News & Politics
pZgBVMGJ3n0,2018-05-26,SVF,1,61942,2943,61,209,FALSO,FALSO,Mizoram,23.71039899,92.72001461,POINT (92.72001461000001 23.71039899),Film & Animation
mET6uxaf4zQ,2018-05-26,Sathiyam News,25,433411,1192,198,6,FALSO,FALSO,Maharashtra,19.25023195,73.16017493,POINT (73.16017493 19.25023195),News & Politics
3J9cY2aWnn8,2018-05-26,And TV,24,175781,992,133,64,FALSO,FALSO,Punjab,31.51997398,75.98000281,POINT (75.98000281 31.51997398),Entertainment
VNYzAMoYe40,2018-05-26,OTV,25,174091,1884,115,83,FALSO,FALSO,Andhra Pradesh,14.7504291,78.57002559,POINT (78.57002559 14.7504291),News & Politics
atmdaEmjJ4c,2018-05-26,Zee Kannada,24,23308,45,0,1,FALSO,FALSO,Arunachal Pradesh,27.10039878,93.61660071,POINT (93.61660071 27.10039878),Entertainment
hSXprL3dThE,2018-05-26,Ram Audio,23,608710,7836,553,177,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),Comedy
RKFR0V0d3as,2018-05-26,TsMadaan,26,146574,3199,282,256,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Howto & Style
B25I-Kq6EXM,2018-05-26,Krazy Khanna,24,69127,1933,146,708,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Entertainment
J8nP4-p5wNg,2018-05-26,Chai Bisket,24,191829,5016,277,730,FALSO,FALSO,Andhra Pradesh,14.7504291,78.57002559,POINT (78.57002559 14.7504291),Entertainment
w2Jma9JQOkA,2018-05-26,Aone Celebrity,24,109009,677,80,97,FALSO,FALSO,Himachal Pradesh,31.10002545,77.16659704,POINT (77.16659704 31.10002545),Entertainment
wIFsu3lxgEo,2018-05-26,Zee Yuva,24,29993,144,10,8,FALSO,FALSO,Jammu And Kashmir,34.29995933,74.46665849,POINT (74.46665849 34.29995933),Entertainment
w3JIjnkJrhc,2018-05-26,Emm Pee,29,71549,2726,124,0,VERDADERO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Nonprofits & Activism
9d1y8UR9G2Q,2018-05-26,T-Series,10,179073,4087,406,536,FALSO,FALSO,Uttar Pradesh,27.59998069,78.05000565,POINT (78.05000565 27.59998069),Music
8_apr2UDb_8,2018-05-26,Gujrati Beats,24,95218,282,92,10,FALSO,FALSO,Tripura,23.83540428,91.27999914,POINT (91.27999914 23.83540428),Entertainment
hFmHZj1kLGg,2018-05-26,Mic Tv,24,28022,1091,57,118,FALSO,FALSO,Jammu And Kashmir,34.29995933,74.46665849,POINT (74.46665849 34.29995933),Entertainment
I4OJ0mtTO2A,2018-05-26,Akki & Ankit,23,189965,3248,209,258,FALSO,FALSO,Puducherry,11.93499371,79.83000037,POINT (79.83000036999999 11.93499371),Comedy
cXwQRd7VnRQ,2018-05-26,NIROM मराठी,24,245546,819,109,45,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Entertainment
SglM7ppcjXQ,2018-05-26,ETV Plus India,23,279491,2606,310,553,FALSO,FALSO,Dadra And Nagar Haveli,20.26657819,73.01661779999999,POINT (73.01661780000001 20.26657819),Comedy
JwzPmgVOV-M,2018-05-26,mallemalatv,24,1242671,8640,715,650,FALSO,FALSO,Lakshadweep,10.56257331,72.63686717,POINT (72.63686717 10.56257331),Entertainment
nKQH9NwOOpg,2018-05-26,Dinamalar,25,495045,1517,418,447,FALSO,FALSO,Puducherry,11.93499371,79.83000037,POINT (79.83000036999999 11.93499371),News & Politics
Ov1u-0VDU7U,2018-05-26,SAB TV,24,477030,2698,538,201,FALSO,FALSO,Andhra Pradesh,14.7504291,78.57002559,POINT (78.57002559 14.7504291),Entertainment
58jE0jh03aA,2018-05-26,I Love Cricket,17,267216,4603,336,307,FALSO,FALSO,Karnataka,12.57038129,76.91999711,POINT (76.91999711 12.57038129),Sports
wzijpVyAtf8,2018-05-26,First Show,24,375858,0,0,199,FALSO,VERDADERO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
JojsASBQ5h8,2018-05-26,Viu India,24,88826,781,26,20,FALSO,FALSO,Karnataka,12.57038129,76.91999711,POINT (76.91999711 12.57038129),Entertainment
HsmDe0KNyLw,2018-05-26,News 18 Tamilnadu,25,136277,852,133,98,FALSO,FALSO,Maharashtra,19.25023195,73.16017493,POINT (73.16017493 19.25023195),News & Politics
